SKU_NAME,AP,IMG,CAT,BRAND,GOODS_CODE,UTQ_NAME,UTQ_QTY,PRICE_0,PRICE_8
ซัมยัง แทงเกิ้ล บูลโกกิ 110 ก ซอสบาร์บีคิว+ครีมอัลเฟรโด้,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,1070-บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป,6743-ซัมยัง,10192699000076,หีบ.32,32.00,"1,682.00","1,651.00"
ซัมยัง แทงเกิ้ล บูลโกกิ 110 ก ซอสบาร์บีคิว+ครีมอัลเฟรโด้,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,1070-บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป,6743-ซัมยัง,192699000062,ซอง,1.00,57.00,55.00
ซัมยัง แทงเกิ้ล บูลโกกิ 110 ก ซอสบาร์บีคิว+ครีมอัลเฟรโด้,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,1070-บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป,6743-ซัมยัง,192699000079,แพค*4,4.00,220.00,210.00
ซัมยัง แทงเกิ้ล กิมจิ โรเซ่ 110 ก กิมจิซอสครีมมะเขือเทศ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,1070-บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป,6743-ซัมยัง,10192699000328,หีบ.32,32.00,182.00,"1,651.00"
ซัมยัง แทงเกิ้ล กิมจิ โรเซ่ 110 ก กิมจิซอสครีมมะเขือเทศ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,1070-บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป,6743-ซัมยัง,192699000314,ซอง,1.00,57.00,55.00
ซัมยัง แทงเกิ้ล กิมจิ โรเซ่ 110 ก กิมจิซอสครีมมะเขือเทศ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,1070-บะหมี่กึ่งสำเร็จรูป โจ๊กและซุป,6743-ซัมยัง,192699000321,แพค*4,4.00,220.00,210.00
การ์นิเย่ แนทเชอรัลส์ ไบรท์ 1.5 มล คอมพลีท บูสเตอร์ เซรั่ม,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,5031-ผลิตภัณฑ์ดูแลผิวหน้า,2133-การ์นิเย่,8850434334507,ซอง,1.00,9.00,8.00
การ์นิเย่ สกินน1.5 มล ซูเปอร์ ยูวี-อินวิซิเบิ้ล,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,5031-ผลิตภัณฑ์ดูแลผิวหน้า,2133-การ์นิเย่,0885043433301,ซอง,1.00,9.00,8.00
การ์นิเย่ สกินน1.5 มล ซูเปอร์ ยูวี-อินวิซิเบิ้ล,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,5031-ผลิตภัณฑ์ดูแลผิวหน้า,2133-การ์นิเย่,885043433301,ซอง,1.00,9.00,8.00
การ์นิเย่ คัลเลอร์ 30 ก แนทเชอรัลส์ คลูแอช,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,"H05-ครีมย้อมผม,ยืดผม",2133-การ์นิเย่,8901526631568,ชิ้น ,1.00,45.00,43.00
การ์นิเย่ คัลเลอร์ 30 ก แนทเชอรัลส์ คลูแอช,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,"H05-ครีมย้อมผม,ยืดผม",2133-การ์นิเย่,8901526631575,หีบ.96,96.00,"3,890.00","3,917.00"
การ์นิเย่ คัลเลอร์ 30 ก แนทเชอรัลส์ คลูแอช,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,"H05-ครีมย้อมผม,ยืดผม",2133-การ์นิเย่,8901526632039,แพค 6,6.00,261.00,249.00
การ์นิเย่ ไบรท์ คอมพลีท วิตามินซี 7 มล สลีปปิ้ง มาส์ก,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,5031-ผลิตภัณฑ์ดูแลผิวหน้า,2133-การ์นิเย่,8994993021024,ซอง,1.00,22.00,21.00
การ์นิเย่ ไบรท์ คอมพลีท วิตามินซี 7 มล สลีปปิ้ง มาส์ก,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,5031-ผลิตภัณฑ์ดูแลผิวหน้า,2133-การ์นิเย่,8994993021338,หีบ 144,144.00,"2,849.00","2,797.00"
การ์นิเย่ ไบรท์ คอมพลีท วิตามินซี 7 มล สลีปปิ้ง มาส์ก,1281-บริษัท ลอรีอัล (ประเทศไทย) จำกัด,-,5031-ผลิตภัณฑ์ดูแลผิวหน้า,2133-การ์นิเย่,8994993021642,แพค 6,6.00,124.00,119.00
โฟรโมสตโอเมก้าคิดส์ 110 มล หวาน,1931-บริษัท ซิงซิงเฮง จำกัด (สำนักงานใหญ่) โฟโมสต์,-,2020-นม UHT,2229-โฟร์โมสต์,48850188805948,หีบ 48,48.00,351.00,345.00
โฟรโมสตโอเมก้าคิดส์ 110 มล หวาน,1931-บริษัท ซิงซิงเฮง จำกัด (สำนักงานใหญ่) โฟโมสต์,-,2020-นม UHT,2229-โฟร์โมสต์,8250782805986,กล่อง,1.00,,
โฟรโมสตโอเมก้าคิดส์ 110 มล หวาน,1931-บริษัท ซิงซิงเฮง จำกัด (สำนักงานใหญ่) โฟโมสต์,-,2020-นม UHT,2229-โฟร์โมสต์,8850188805926,กล่อง,1.00,8.00,8.00
โฟรโมสตโอเมก้าคิดส์ 110 มล หวาน,1931-บริษัท ซิงซิงเฮง จำกัด (สำนักงานใหญ่) โฟโมสต์,-,2020-นม UHT,2229-โฟร์โมสต์,8850188904018,แพค*4,4.00,31.00,29.00
กุมาริกา กระยาสารท รสใบเตย,10109-กุมาริกา ขนมของฝาก(ฝากขาย),-,"1100-ผลิตภัณฑ์โอท็อป,ของฝาก",0030-กุมาริกา,8857128862261,ชิ้น*1,1.00,59.00,59.00
กุมาริกา กระยาสารท รสดั้งเดิม,10109-กุมาริกา ขนมของฝาก(ฝากขาย),-,"1100-ผลิตภัณฑ์โอท็อป,ของฝาก",0030-กุมาริกา,8857128862902,ชิ้น*1,1.00,59.00,59.00
จี๊ดจ๊าด 50 ก มะขามหยีคลุกพริกเกลือ+มะม่วงหยีคลุกพริกเกลือ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2759-จี๊ดจ๊าด,18859062501111,หีบ.72,72.00,"1,279.00","1,256.00"
จี๊ดจ๊าด 50 ก มะขามหยีคลุกพริกเกลือ+มะม่วงหยีคลุกพริกเกลือ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2759-จี๊ดจ๊าด,8859062501114,ซอง,1.00,19.00,19.00
จี๊ดจ๊าด 50 ก มะขามหยีคลุกพริกเกลือ+มะม่วงหยีคลุกพริกเกลือ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2759-จี๊ดจ๊าด,8859062551119,แพค 6,6.00,111.00,107.00
จี๊ดจ๊าด 50 ก มะขามเปรี้ยวแซ่บ+มะขามหวานแซ่บ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2759-จี๊ดจ๊าด,18859062501104,หีบ.72,72.00,"1,279.00","1,256.00"
จี๊ดจ๊าด 50 ก มะขามเปรี้ยวแซ่บ+มะขามหวานแซ่บ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2759-จี๊ดจ๊าด,8859062501107,ซอง,1.00,19.00,19.00
จี๊ดจ๊าด 50 ก มะขามเปรี้ยวแซ่บ+มะขามหวานแซ่บ,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2759-จี๊ดจ๊าด,8859062551102,แพค 6,6.00,111.00,107.00
ทรอลลี่ 12 ก สควิกเกิ้ล ทวิสต์,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2744-ทรอลลี่,16925425478542,หีบX192,192.00,777.00,763.00
ทรอลลี่ 12 ก สควิกเกิ้ล ทวิสต์,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2744-ทรอลลี่,6925425478743,แพค 12,12.00,51.00,49.00
ทรอลลี่ 12 ก สควิกเกิ้ล ทวิสต์,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,2744-ทรอลลี่,6925425478859,ชิ้น,1.00,4.00,4.00
เบง เบง เวเฟอร์ช็อกโแลต 66 ก เคลือบคาราเมล,1217-บริษัท ซีโน-แปซิฟิค เทรดดิ้ง (ไทยแลนด์) จำกัด,-,4000-ขนมคบเขี้ยว,1765-เบง-เบง,18996001354275,หีบ 48,48.00,629.00,617.00
